TIME,CHAN1
2937.5,0.00625
2940.0,0.003125
2942.5,-0.00625
2945.0,0.003125
2947.5,-0.00625
2950.0,-0.003125
2952.5,0.303125
2955.0,0.296875
2957.5,0.30625
2960.0,0.30625
2962.5,0.296875
2965.0,0.296875
2967.5,0.30625
2970.0,0.30625
2972.5,0.296875
2975.0,0.30625
2977.5,-0.003125
2980.0,-0.003125
2982.5,0.00625
2985.0,-0.003125
2987.5,0.00625
2990.0,-0.003125
2992.5,0.003125
2995.0,0.003125
2997.5,-0.00625
3000.0,-0.003125
3002.5,0.303125
3005.0,0.296875
3007.5,0.30625
3010.0,0.296875
3012.5,0.30625
3015.0,0.30625
3017.5,0.296875
3020.0,0.30625
3022.5,0.296875
3025.0,0.30625
3027.5,-0.003125
3030.0,0.00625
3032.5,-0.003125
3035.0,0.003125
3037.5,-0.003125
3040.0,-0.003125
3042.5,0.00625
3045.0,0.003125
3047.5,-0.00625
3050.0,-0.00625
3052.5,0.30625
3055.0,0.296875
3057.5,0.30625
3060.0,0.296875
3062.5,0.30625
3065.0,0.30625
3067.5,0.296875
3070.0,0.30625
3072.5,0.296875
3075.0,0.30625
3077.5,-0.003125
3080.0,-0.003125
3082.5,0.00625
3085.0,0.00625
3087.5,-0.00625
3090.0,-0.003125
3092.5,0.003125
3095.0,0.003125
3097.5,-0.003125
3100.0,-0.00625
3102.5,0.30625
3105.0,0.296875
3107.5,0.30625
3110.0,0.296875
3112.5,0.30625
3115.0,0.30625
3117.5,0.296875
3120.0,0.30625
3122.5,0.296875
3125.0,0.30625
3127.5,-0.003125
3130.0,-0.003125
3132.5,0.00625
3135.0,-0.003125
3137.5,0.00625
3140.0,-0.003125
3142.5,0.003125
3145.0,-0.003125
3147.5,0.003125
3150.0,-0.00625
3152.5,0.30625
3155.0,0.296875
3157.5,0.30625
3160.0,0.296875
3162.5,0.30625
3165.0,0.30625
3167.5,0.296875
3170.0,0.30625
3172.5,0.296875
3175.0,0.30625
3177.5,-0.003125
3180.0,0.00625
3182.5,-0.003125
3185.0,-0.003125
3187.5,0.00625
3190.0,-0.003125
3192.5,0.00625
3195.0,0.003125
3197.5,-0.00625
3200.0,-0.00625
3202.5,0.303125
3205.0,0.296875
3207.5,0.30625
3210.0,0.30625
3212.5,0.296875
3215.0,0.30625
3217.5,0.296875
3220.0,0.30625
3222.5,0.296875
3225.0,0.30625
3227.5,0.0
3230.0,-0.003125
3232.5,0.00625
3235.0,-0.003125
3237.5,0.00625
3240.0,0.003125
3242.5,-0.003125
3245.0,0.003125
3247.5,-0.003125
3250.0,-0.00625
3252.5,0.30625
3255.0,0.296875
3257.5,0.30625
3260.0,0.296875
3262.5,0.30625
